2016-08-08 22:42:20,114 | iss_tracker | INFO | Started Tracking ISS
2016-08-09 18:08:32,866 | iss_tracker | INFO | Started Tracking ISS
2016-08-09 18:13:40,308 | iss_tracker | INFO | ISS Latitude = 50.8011130313 Longitude = -6.60010725488 Distance = 289.495692186 
2016-08-09 18:14:10,976 | iss_tracker | INFO | ISS Latitude = 51.1628086392 Longitude = -3.69707106391 Distance = 163.306717665 
2016-08-09 18:14:41,675 | iss_tracker | INFO | ISS Latitude = 51.4530822917 Longitude = -0.652830658146 Distance = 50.0028145503 
2016-08-09 18:15:12,355 | iss_tracker | INFO | ISS Latitude = 51.6565800184 Longitude = 2.42579338142 Distance = 117.349967019 
2016-08-09 18:15:43,048 | iss_tracker | INFO | ISS Latitude = 51.7695628368 Longitude = 5.42672395392 Distance = 241.696763839 
2016-08-09 18:16:13,721 | iss_tracker | INFO | ISS Latitude = 51.7987644865 Longitude = 8.53792224208 Distance = 373.381727858 
2016-08-09 19:49:55,528 | iss_tracker | INFO | ISS Latitude = 51.54257772 Longitude = -8.05989451406 Distance = 337.128836777 
2016-08-09 19:50:26,202 | iss_tracker | INFO | ISS Latitude = 51.2858176112 Longitude = -5.00081696336 Distance = 212.824946104 
2016-08-09 19:50:56,866 | iss_tracker | INFO | ISS Latitude = 50.955763585 Longitude = -2.07947136928 Distance = 113.68980168 
2016-08-09 19:51:27,585 | iss_tracker | INFO | ISS Latitude = 50.5326006944 Longitude = 0.888947836175 Distance = 119.996568173 
2016-08-09 19:51:58,255 | iss_tracker | INFO | ISS Latitude = 50.0286473785 Longitude = 3.79736162271 Distance = 226.667834249 
2016-08-09 19:52:28,909 | iss_tracker | INFO | ISS Latitude = 49.4669027138 Longitude = 6.54767787673 Distance = 347.826064804 
